Pompei_VI.5_CE_367,Morel_4342,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_368,Morel_9112a,coperchio,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_369,Morel_1314,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_370,Morel_2981a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_371,Morel_2575,coppa,vaso_modanato,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_373,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_374,Morel_1333b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_375,Morel_1122a1,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_376,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_377,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_380,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_381,Morel_4375a1,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_382,coppa,Pompei_VI.5_CE_434,Pompei_VI.5_CE_451,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_383,Morel_2787h,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_384,Morel_3221c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_386,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_387,Morel_2812b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_421,Morel_2751g,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_434,coppa,Pompei_VI.5_CE_451,Pompei_VI.5_CE_382,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_446,Morel_4341,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_447,Morel_4374,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_451,coppa,Pompei_VI.5_CE_382,Pompei_VI.5_CE_434,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_452,Sparkes-Talcott_469,kylix_su_passo_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_468,Morel_1315d,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_515,Morel_2151c1,Morel_2151,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,
Pompei_VI.5_CE_516,Morel_2812b,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_517,Morel_13150,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_518,Morel_1276a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_519,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_520,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_521,Morel_2812b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_522,Morel_2153,vaso_apodo,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_523,Morel_1514,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_524,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_525,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_526,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_527,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_528,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_529,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_536,Morel_5422,lekythos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_608,Morel_8173a,guttus,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_634,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_635,Morel_2153,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_636,Morel_2121,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_637,Morel_2981b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_677,Morel_2243,Morel_2200,patère,patera,,,,,,,,,,,,,,,,,,
